intake_date,animal_id,intake_type,intake_subtype,outcome_date,outcome_type,primary_breed,secondary_breed,years_old,months_old,OutcomeGroup,Breed,PitBullType,PitBullExpanded,AKC,AKC_Extended,KennelCardBreed,LOS,AgeGroup
7/3/13,A269234,OWNER SURR,OTC,7/10/13,ADOPTION,CAIRN TERRIER,DACHSHUND MIN,5,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
10/1/13,A276384,STRAY,OTC,10/8/13,ADOPTION,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
10/16/13,A277624,STRAY,FIELD,10/23/13,ADOPTION,CAIRN TERRIER,MIX,4,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
12/26/13,A282241,STRAY,FIELD,1/2/14,LOST EXP,CAIRN TERRIER,MIX,0,0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Puppy (0-4mo)
2/6/13,A256600,STRAY,FIELD,2/12/13,RESCUE,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
2/19/13,A257465,STRAY,FIELD,2/25/13,ADOPTION,CAIRN TERRIER, ,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
7/19/13,A270616,STRAY,OTC,7/25/13,ADOPTION,CAIRN TERRIER,MIX,5,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
8/7/13,A272253,STRAY,OTC,8/13/13,ADOPTION,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
8/30/13,A273977,STRAY,OTC,9/5/13,ADOPTION,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
2/16/13,A257326,STRAY,FIELD,2/21/13,ADOPTION,CAIRN TERRIER,MIX,1,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adolescent (5-12mo)
4/28/13,A262969,STRAY,FIELD,5/3/13,ADOPTION,CAIRN TERRIER,MIX,3,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adult (1-7yr)
7/19/13,A270618,STRAY,OTC,7/24/13,RESCUE,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adult (1-7yr)
8/7/13,A272252,STRAY,OTC,8/12/13,ADOPTION,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adult (1-7yr)
1/25/14,A284101,STRAY,OTC,1/30/14,RESCUE,CAIRN TERRIER,MIX,6,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adult (1-7yr)
3/11/13,A259006,STRAY,FIELD,3/15/13,RESCUE,CAIRN TERRIER,MIX,1,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,4,Adolescent (5-12mo)
5/6/13,A263649,STRAY,OTC,5/10/13,ADOPTION,CAIRN TERRIER,MIX,8,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,4,Senior (8+yr)
11/13/13,A279608,EUTH REQ,OTC OWNED,11/14/13,EUTH,CAIRN TERRIER, ,11,0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,1,Senior (8+yr)
12/29/13,A282360,STRAY,FIELD,12/30/13,DISPOSAL,CAIRN TERRIER,MIX,4,0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,1,Adult (1-7yr)
5/30/13,A265848,STRAY,OTC,5/30/13,RTO,CAIRN TERRIER, ,9,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Senior (8+yr)
6/8/13,A266769,STRAY,OTC,6/8/13,EUTH,CAIRN TERRIER, ,0,0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
