intake_date,animal_id,intake_type,intake_subtype,outcome_date,outcome_type,primary_breed,secondary_breed,years_old,months_old,OutcomeGroup,Breed,PitBullType,PitBullExpanded,AKC,AKC_Extended,KennelCardBreed,LOS,AgeGroup
2013-08-07,A272253,STRAY,OTC,2013-08-13,ADOPTION,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
2013-08-30,A273977,STRAY,OTC,2013-09-05,ADOPTION,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
2013-02-16,A257326,STRAY,FIELD,2013-02-21,ADOPTION,CAIRN TERRIER,MIX,1,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adolescent (5-12mo)
2013-04-28,A262969,STRAY,FIELD,2013-05-03,ADOPTION,CAIRN TERRIER,MIX,3,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adult (1-7yr)
2013-07-19,A270618,STRAY,OTC,2013-07-24,RESCUE,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adult (1-7yr)
2013-08-07,A272252,STRAY,OTC,2013-08-12,ADOPTION,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adult (1-7yr)
2014-01-25,A284101,STRAY,OTC,2014-01-30,RESCUE,CAIRN TERRIER,MIX,6,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adult (1-7yr)
2013-03-11,A259006,STRAY,FIELD,2013-03-15,RESCUE,CAIRN TERRIER,MIX,1,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,4,Adolescent (5-12mo)
2013-05-06,A263649,STRAY,OTC,2013-05-10,ADOPTION,CAIRN TERRIER,MIX,8,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,4,Senior (8+yr)
2013-11-13,A279608,EUTH REQ,OTC OWNED,2013-11-14,EUTH,CAIRN TERRIER,unknown,11,0.0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,1,Senior (8+yr)
2013-12-29,A282360,STRAY,FIELD,2013-12-30,DISPOSAL,CAIRN TERRIER,MIX,4,0.0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,1,Adult (1-7yr)
2013-05-30,A265848,STRAY,OTC,2013-05-30,RTO,CAIRN TERRIER,unknown,9,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Senior (8+yr)
2013-06-08,A266769,STRAY,OTC,2013-06-08,EUTH,CAIRN TERRIER,unknown,0,0.0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
2013-07-24,A271064,EUTH REQ,OTC OWNED,2013-07-24,EUTH,CAIRN TERRIER,unknown,0,4.0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
2013-07-25,A270618,RETURN,OTC,2013-07-25,RESCUE,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
2013-08-13,A272691,DISPO REQ,FIELD,2013-08-13,DISPOSAL,CAIRN TERRIER,MIX,5,0.0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
2013-11-07,A279229,STRAY,FIELD,2013-11-07,DISPOSAL,CAIRN TERRIER,unknown,1,0.0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adolescent (5-12mo)
2013-06-22,A268150,OWNER SURR,OTC,2013-06-26,EUTH,DANDIE DINMONT,unknown,9,0.0,Euthanized/Dead,Dandie Dinmont Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,4,Senior (8+yr)
2013-06-27,A268618,STRAY,FIELD,2013-07-16,ADOPTION,FOX TERR SMOOTH,MIX,2,0.0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,19,Adult (1-7yr)
2013-10-02,A276506,STRAY,OTC,2013-10-11,ADOPTION,FOX TERR SMOOTH,unknown,8,0.0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Senior (8+yr)
2013-06-08,A266743,STRAY,FIELD,2013-06-14,ADOPTION,FOX TERR SMOOTH,JACK RUSS TER,2,0.0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
2013-07-18,A270531,STRAY,OTC,2013-07-23,ADOPTION,FOX TERR SMOOTH,MIX,0,5.0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adolescent (5-12mo)
2013-08-13,A272666,OWNER SURR,FIELD,2013-08-16,ADOPTION,FOX TERR SMOOTH,MIX,1,0.0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Adolescent (5-12mo)
2013-09-23,A275628,OWNER SURR,OTC,2013-09-25,RTO,FOX TERR SMOOTH,MIX,1,6.0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,2,Adult (1-7yr)
2013-03-29,A260398,STRAY,FIELD,2013-03-30,RTO,FOX TERR SMOOTH,MIX,2,0.0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,1,Adult (1-7yr)
2013-04-17,A261912,STRAY,FIELD,2013-04-17,HOME EXP,FOX TERR SMOOTH,unknown,0,0.0,Lost/Found/Missing,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
2013-06-07,A266638,STRAY,FIELD,2013-06-07,RTO,FOX TERR SMOOTH,JACK RUSS TER,13,0.0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Senior (8+yr)
2013-10-19,A277790,STRAY,FIELD,2013-10-19,RTO,FOX TERR SMOOTH,unknown,3,0.0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
2013-04-19,A262219,STRAY,FIELD,2013-05-19,LOST EXP,FOX TERR WIRE,unknown,13,0.0,Lost/Found/Missing,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,30,Senior (8+yr)
2013-01-22,A255423,OWNER SURR,OTC,2013-02-06,ADOPTION,FOX TERR WIRE,unknown,6,0.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,15,Adult (1-7yr)
