intake_type,intake_subtype,secondary_breed,Breed,AKC_Extended,KennelCardBreed,LOS,AgeGroup,age
STRAY,FIELD,unknown,Chihuahua,Toy,Without Breed,28,Puppy (0-4mo),0.0
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,10,Adolescent (5-12mo),0.7937005259840997
STRAY,OTC,MIX,Chow Chow,Non-sporting,With Breed,0,Puppy (0-4mo),0.5848035476425733
STRAY,FIELD,unknown,Chihuahua,Toy,With Breed,0,Adolescent (5-12mo),1.0
STRAY,FIELD,MIX,Chinese Shar-Pei,Non-sporting,Without Breed,11,Adolescent (5-12mo),1.0
CONFISCATE,POLICE,MIX,Irish Setter,Sporting,Without Breed,13,Adult (1-7yr),1.259921049894873
FOSTER,OTC,MIX,Border Terrier,Other Terriers,Without Breed,1,Adolescent (5-12mo),1.0
OWNER SURR,FIELD,unknown,Chihuahua,Toy,With Breed,5,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,7,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Chinese Shar-Pei,Non-sporting,With Breed,6,Puppy (0-4mo),0.6694329500821695
CONFISCATE,CRUELTY,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,18,Adolescent (5-12mo),1.0
STRAY,FIELD,MIX,Labrador Retreiver,Sporting,With Breed,2,Adolescent (5-12mo),1.0
OWNER SURR,OTC,MIX,Labrador Retreiver,Sporting,Without Breed,11,Adolescent (5-12mo),0.8879040017426006
EUTH REQ,OTC OWNED,MIX,Labrador Retreiver,Sporting,Without Breed,0,Senior (8+yr),2.154434690031884
FOSTER,OTC,unknown,Chihuahua,Toy,Without Breed,0,Adolescent (5-12mo),1.0
OWNER SURR,FIELD,unknown,Dachshund,Hound,Without Breed,10,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Shih Tzu,Toy,Without Breed,10,Adult (1-7yr),1.5874010519681994
OWNED,unknown,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,8,Adolescent (5-12mo),1.0
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,4,Adult (1-7yr),1.259921049894873
STRAY,FIELD,PIT BULL,German Shepherd Dog,Herding,Without Breed,15,Adult (1-7yr),1.709975946676697
STRAY,FIELD,unknown,Shiba Inu,Non-sporting,With Breed,30,Puppy (0-4mo),0.0
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,7,Puppy (0-4mo),0.5848035476425733
STRAY,FIELD,unknown,Russell Terrier (Jack Russell),Other Terriers,With Breed,0,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,Chihuahua,Toy,With Breed,30,Puppy (0-4mo),0.0
STRAY,FIELD,MIX,Maltese,Toy,With Breed,8,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,15,Puppy (0-4mo),0.5848035476425733
CONFISCATE,EVICTION,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,25,Adult (1-7yr),1.709975946676697
STRAY,FIELD,unknown,French Bulldog,Non-sporting,With Breed,1,Adult (1-7yr),1.4422495703074083
OWNER SURR,OTC,MIX,Labrador Retreiver,Sporting,With Breed,13,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Chihuahua,Toy,With Breed,12,Adult (1-7yr),1.709975946676697
OWNER SURR,OTC,MIX,Border Collie,Herding,Without Breed,13,Adult (1-7yr),1.5874010519681994
STRAY,OTC,MIX,Labrador Retreiver,Sporting,With Breed,0,Adult (1-7yr),1.259921049894873
OWNER SURR,OTC,unknown,Bulldog,Non-sporting,Without Breed,1,Adult (1-7yr),1.4422495703074083
FOSTER,OTC,MIX,Chihuahua,Toy,With Breed,0,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,9,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Yorkshire Terrier,Toy,Without Breed,3,Adult (1-7yr),1.5874010519681994
OWNER SURR,OTC,BEAGLE,Labrador Retreiver,Sporting,Without Breed,5,Adult (1-7yr),1.5874010519681994
CONFISCATE,DANGER IN,unknown,Akita,Working,With Breed,15,Adult (1-7yr),1.9129311827723892
OWNER SURR,OTC,unknown,Australian Cattle Dog,Herding,Without Breed,3,Adult (1-7yr),1.709975946676697
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,18,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,1,Adolescent (5-12mo),0.8434326653017492
OWNER SURR,OTC,MIX,German Shepherd Dog,Herding,Without Breed,4,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Beagle,Hound,Without Breed,4,Adult (1-7yr),1.1447142425533319
STRAY,FIELD,MIX,German Shepherd Dog,Herding,Without Breed,28,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,Rat Terrier,Other Terriers,Without Breed,7,Adult (1-7yr),1.259921049894873
CONFISCATE,DANGER IN,GERM SHEPHERD,Boxer,Working,With Breed,3,Adult (1-7yr),1.9129311827723892
STRAY,OTC,MIX,Golden Retriever,Sporting,Without Breed,11,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,Yorkshire Terrier,Toy,Without Breed,30,Puppy (0-4mo),0.0
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,0,Puppy (0-4mo),0.5848035476425733
